,week_number,death_yn,cdc_case_earliest_dt,cdc_report_dt,year,month,year_month,week_range
0,2019-12-31,No,2020-01-01,579,2020,1,2020-01,2019-12-31 to 2020-01-06
1,2019-12-31,Yes,2020-01-01,505,2020,1,2020-01,2019-12-31 to 2020-01-06
2,2020-01-07,No,2020-01-07,227,2020,1,2020-01,2020-01-07 to 2020-01-13
3,2020-01-07,Yes,2020-01-07,18,2020,1,2020-01,2020-01-07 to 2020-01-13
4,2020-01-14,No,2020-01-14,197,2020,1,2020-01,2020-01-14 to 2020-01-20
5,2020-01-14,Yes,2020-01-14,25,2020,1,2020-01,2020-01-14 to 2020-01-20
6,2020-01-21,No,2020-01-21,220,2020,1,2020-01,2020-01-21 to 2020-01-27
7,2020-01-21,Yes,2020-01-21,24,2020,1,2020-01,2020-01-21 to 2020-01-27
8,2020-01-28,No,2020-01-28,267,2020,1,2020-01,2020-01-28 to 2020-02-03
9,2020-01-28,Yes,2020-01-28,35,2020,1,2020-01,2020-01-28 to 2020-02-03
10,2020-02-04,No,2020-02-04,106,2020,2,2020-02,2020-02-04 to 2020-02-10
11,2020-02-04,Yes,2020-02-04,46,2020,2,2020-02,2020-02-04 to 2020-02-10
12,2020-02-11,No,2020-02-11,204,2020,2,2020-02,2020-02-11 to 2020-02-17
13,2020-02-11,Yes,2020-02-11,50,2020,2,2020-02,2020-02-11 to 2020-02-17
14,2020-02-18,No,2020-02-18,346,2020,2,2020-02,2020-02-18 to 2020-02-24
15,2020-02-18,Yes,2020-02-18,107,2020,2,2020-02,2020-02-18 to 2020-02-24
16,2020-02-25,No,2020-02-25,1438,2020,2,2020-02,2020-02-25 to 2020-03-02
17,2020-02-25,Yes,2020-02-25,277,2020,2,2020-02,2020-02-25 to 2020-03-02
18,2020-03-03,No,2020-03-03,5082,2020,3,2020-03,2020-03-03 to 2020-03-09
19,2020-03-03,Yes,2020-03-03,735,2020,3,2020-03,2020-03-03 to 2020-03-09
20,2020-03-10,No,2020-03-10,26587,2020,3,2020-03,2020-03-10 to 2020-03-16
21,2020-03-10,Yes,2020-03-10,2887,2020,3,2020-03,2020-03-10 to 2020-03-16
22,2020-03-17,No,2020-03-17,58746,2020,3,2020-03,2020-03-17 to 2020-03-23
